short_SMA,long_SMA,trades,sharpe_ratio
154,172,34,-0.279685
154,174,30,-0.190114
154,184,20,-0.207971
154,192,20,-0.175170
154,202,18,-0.152048
156,160,62,-0.254568
156,166,42,-0.410886
156,168,40,-0.332854
156,184,22,-0.137727
156,186,20,-0.124798
158,164,54,-0.314783
158,170,40,-0.343855
158,176,32,-0.130723
158,194,18,-0.123157
160,162,88,-0.187429
160,172,40,-0.185027
160,176,38,-0.148682
160,190,22,-0.116142
160,196,18,-0.188176
162,180,34,-0.026925
162,196,18,-0.196306
164,168,68,-0.142909
164,190,28,-0.075336
164,194,20,-0.187169
164,224,14,-0.114663
164,226,14,-0.118256
166,192,24,-0.121586
168,172,64,-0.051777
168,180,42,-0.107626
168,186,30,-0.215079
168,190,28,-0.167308
168,222,14,-0.222582
168,224,14,-0.084674
170,186,32,-0.251155
172,176,68,-0.175750
172,188,32,-0.203275
172,194,26,-0.171463
172,218,18,-0.136138
174,202,20,-0.256541
174,204,18,-0.242415
174,208,18,-0.339240
174,218,18,-0.133307
176,188,38,-0.058258
176,190,34,-0.260467
176,192,30,-0.091477
176,212,18,-0.241349
178,188,42,-0.155297
180,192,34,-0.071620
180,206,20,-0.275968
182,186,70,-0.207738
182,190,42,0.048314
182,200,26,-0.080515
182,204,22,-0.184111
182,210,20,-0.142310
182,214,18,-0.077473
184,190,54,0.079566
184,204,24,-0.207728
186,188,86,0.227784
186,190,62,0.181026
186,192,52,0.108937
186,194,42,0.134692
186,198,32,0.009408
186,202,24,-0.060883
186,204,24,-0.150680
186,206,26,-0.137949
186,208,22,-0.142872
186,210,22,0.007692
186,214,20,0.047120
186,216,20,-0.039925
186,218,18,-0.049958
188,190,82,0.100998
188,204,24,-0.185128
188,210,22,-0.083709
188,212,20,-0.038963
188,218,20,-0.139432
190,208,26,-0.178632
190,224,18,-0.048280
192,206,34,-0.154964
192,210,26,-0.163075
192,220,22,-0.135923
192,224,18,-0.047053
194,204,38,-0.073770
194,224,18,-0.045735
196,200,63,0.005937
196,212,28,-0.104149
196,224,22,0.019536
198,212,34,-0.079850
198,214,26,-0.135280
198,224,22,0.053093
200,202,84,-0.075562
200,204,66,-0.018703
200,206,48,-0.073451
200,208,42,-0.059961
200,212,34,-0.207045
200,214,34,-0.279768
200,216,28,-0.190522
200,220,26,-0.032542
200,224,24,0.008342
202,212,36,-0.196505
202,218,28,-0.207172
202,224,24,0.018710
204,206,84,-0.357576
204,210,46,-0.361011
204,212,40,-0.270124
204,222,28,0.029518
204,224,26,0.081678
204,226,24,0.122962
204,228,20,-0.012518
206,218,34,-0.033156
206,220,34,0.052485
206,224,26,0.192555
208,224,28,0.115588
208,228,26,0.143280
208,234,20,-0.251628
210,222,34,0.087284
210,224,30,0.004647
210,234,22,-0.342539
212,224,34,0.212329
212,226,30,0.049984
212,228,30,0.056268
212,244,16,-0.241511
214,218,58,0.043003
214,220,36,0.266326
214,222,36,0.306594
214,224,36,0.270051
214,226,32,0.180717
214,234,24,0.037421
214,236,28,0.057286
214,242,20,-0.088569
214,248,18,-0.176381
214,250,16,-0.254714
214,252,16,-0.426784
214,254,16,-0.494546
214,258,16,-0.595082
216,218,86,0.297012
216,220,56,0.305493
216,222,36,0.453823
216,224,36,0.448619
216,226,36,0.317575
216,228,32,0.124733
216,230,28,0.122276
216,232,28,0.095438
216,234,30,0.109234
216,236,24,0.057423
216,238,26,0.063359
216,240,22,0.072023
216,242,22,0.069206
216,244,20,0.049893
216,246,18,-0.015073
216,248,16,-0.161835
216,252,18,-0.272934
216,254,16,-0.480890
216,256,16,-0.506168
216,258,16,-0.458724
216,260,16,-0.550168
218,220,82,0.309293
218,222,50,0.372581
218,224,36,0.411160
218,226,36,0.241276
218,228,36,0.202294
218,230,32,0.117820
218,238,24,0.124569
218,240,26,0.110798
218,242,22,0.127139
218,244,22,0.060176
218,246,20,-0.040096
218,258,16,-0.360081
218,262,16,-0.466429
220,222,80,0.226555
220,224,46,0.255423
220,226,36,0.326306
220,230,36,0.150619
220,234,28,0.117058
220,236,28,0.093492
220,238,30,0.162352
220,240,26,0.140513
220,242,26,-0.059505
220,244,22,-0.043035
220,246,22,-0.087711
220,248,24,-0.262753
220,250,22,-0.259465
220,252,18,-0.349563
220,264,18,-0.517020
220,266,16,-0.607463
222,224,74,0.293672
